fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,57,uam_st_57_fa,101014.475004287,1200.0
9,uam_st_9_fa,47,uam_st_47_fa,109436.24029186108,1200.0
9,uam_st_9_fa,22,uam_st_22_fa,61248.77712782122,1200.0
9,uam_st_9_fa,16,uam_st_16_fa,87845.9605862362,1200.0
9,uam_st_9_fa,37,uam_st_37_fa,69385.57279937324,1200.0
9,uam_st_9_fa,68,uam_st_68_fa,101607.25302484135,1200.0
9,uam_st_9_fa,43,uam_st_43_fa,64550.81684922208,1200.0
9,uam_st_9_fa,64,uam_st_64_fa,69596.69910637973,1200.0
9,uam_st_9_fa,71,uam_st_71_fa,101920.47868740688,1200.0
9,uam_st_9_fa,3,uam_st_3_fa,63912.48701301308,1200.0
9,uam_st_9_fa,12,uam_st_12_fa,46432.49545797536,1200.0
9,uam_st_9_fa,33,uam_st_33_fa,19331.425356877793,1200.0
9,uam_st_9_fa,27,uam_st_27_fa,50646.665490547064,1200.0
9,uam_st_9_fa,52,uam_st_52_fa,17789.28397490949,1200.0
9,uam_st_9_fa,7,uam_st_7_fa,75132.8975861629,1200.0
9,uam_st_9_fa,56,uam_st_56_fa,91175.35538854035,1200.0
9,uam_st_9_fa,23,uam_st_23_fa,67889.02227250345,1200.0
9,uam_st_9_fa,65,uam_st_65_fa,81276.8004928774,1200.0
9,uam_st_9_fa,17,uam_st_17_fa,23678.33075703996,1200.0
9,uam_st_9_fa,42,uam_st_42_fa,88964.13158099675,1200.0
9,uam_st_9_fa,36,uam_st_36_fa,42885.55183376328,1200.0
9,uam_st_9_fa,61,uam_st_61_fa,70150.3444338775,1200.0
9,uam_st_9_fa,0,uam_st_0_fa,91160.76453063118,1200.0
9,uam_st_9_fa,46,uam_st_46_fa,105173.49970812087,1200.0
9,uam_st_9_fa,4,uam_st_4_fa,105980.18737495306,1200.0
9,uam_st_9_fa,69,uam_st_69_fa,82792.14338862225,1200.0
9,uam_st_9_fa,13,uam_st_13_fa,58777.7191259981,1200.0
9,uam_st_9_fa,28,uam_st_28_fa,58880.137176569166,1200.0
9,uam_st_9_fa,30,uam_st_30_fa,119734.19833339154,1200.0
9,uam_st_9_fa,49,uam_st_49_fa,33379.426341738974,1200.0
9,uam_st_9_fa,51,uam_st_51_fa,91316.05579549153,1200.0
9,uam_st_9_fa,55,uam_st_55_fa,83103.26459968892,1200.0
9,uam_st_9_fa,72,uam_st_72_fa,69729.85214021892,1200.0
9,uam_st_9_fa,59,uam_st_59_fa,52646.48227826904,1200.0
9,uam_st_9_fa,24,uam_st_24_fa,124284.56345960253,1200.0
9,uam_st_9_fa,20,uam_st_20_fa,109528.45499610047,1200.0
9,uam_st_9_fa,41,uam_st_41_fa,79442.23517986144,1200.0
9,uam_st_9_fa,14,uam_st_14_fa,93677.91357430285,1200.0
9,uam_st_9_fa,1,uam_st_1_fa,78256.21249055231,1200.0
9,uam_st_9_fa,62,uam_st_62_fa,56654.74439103111,1200.0
9,uam_st_9_fa,18,uam_st_18_fa,36425.51596240998,1200.0
9,uam_st_9_fa,45,uam_st_45_fa,58363.44158629387,1200.0
9,uam_st_9_fa,66,uam_st_66_fa,45795.62161953979,1200.0
9,uam_st_9_fa,39,uam_st_39_fa,43905.570790554186,1200.0
9,uam_st_9_fa,10,uam_st_10_fa,64007.31448066103,1200.0
9,uam_st_9_fa,35,uam_st_35_fa,71879.37249875686,1200.0
9,uam_st_9_fa,5,uam_st_5_fa,28432.589624385782,1200.0
31,uam_st_31_fa,9,uam_st_9_fa,90771.11029264885,1200.0
31,uam_st_31_fa,25,uam_st_25_fa,56243.73686596855,1200.0
31,uam_st_31_fa,50,uam_st_50_fa,86521.01759855918,1200.0
31,uam_st_31_fa,29,uam_st_29_fa,156345.20510267405,1200.0
31,uam_st_31_fa,48,uam_st_48_fa,60512.937493547666,1200.0
31,uam_st_31_fa,54,uam_st_54_fa,61176.47725723753,1200.0
31,uam_st_31_fa,73,uam_st_73_fa,135329.69345886877,1200.0
31,uam_st_31_fa,58,uam_st_58_fa,99530.25747970642,1200.0
31,uam_st_31_fa,60,uam_st_60_fa,44596.863255738965,1200.0
31,uam_st_31_fa,21,uam_st_21_fa,156840.71756183513,1200.0
31,uam_st_31_fa,15,uam_st_15_fa,41470.0188549847,1200.0
31,uam_st_31_fa,40,uam_st_40_fa,137287.29022657554,1200.0
31,uam_st_31_fa,19,uam_st_19_fa,69472.90133569208,1200.0
31,uam_st_31_fa,44,uam_st_44_fa,84041.56428416749,1200.0
31,uam_st_31_fa,67,uam_st_67_fa,131030.40065970537,1200.0
31,uam_st_31_fa,2,uam_st_2_fa,86761.00555554449,1200.0
31,uam_st_31_fa,70,uam_st_70_fa,14350.252637685655,1200.0
31,uam_st_31_fa,38,uam_st_38_fa,65075.42290666719,1200.0
31,uam_st_31_fa,63,uam_st_63_fa,110857.05169149334,1200.0
31,uam_st_31_fa,11,uam_st_11_fa,120136.18295595358,1200.0
31,uam_st_31_fa,34,uam_st_34_fa,128408.65102481839,1200.0
31,uam_st_31_fa,6,uam_st_6_fa,24286.4791775383,1200.0
31,uam_st_31_fa,53,uam_st_53_fa,72956.6064789308,1200.0
31,uam_st_31_fa,8,uam_st_8_fa,106629.54543314088,1200.0
31,uam_st_31_fa,32,uam_st_32_fa,110904.39735082547,1200.0
