fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,36,uam_st_36_fa,49589.05570844685,1200.0
9,uam_st_9_fa,61,uam_st_61_fa,42628.66535135109,1200.0
9,uam_st_9_fa,0,uam_st_0_fa,18903.409917643767,1200.0
9,uam_st_9_fa,46,uam_st_46_fa,25218.35764701656,1200.0
9,uam_st_9_fa,4,uam_st_4_fa,12507.375362656008,1200.0
9,uam_st_9_fa,69,uam_st_69_fa,57384.00072851988,1200.0
9,uam_st_9_fa,13,uam_st_13_fa,49046.7119706647,1200.0
9,uam_st_9_fa,28,uam_st_28_fa,75675.56166555372,1200.0
9,uam_st_9_fa,30,uam_st_30_fa,34253.39723611205,1200.0
9,uam_st_9_fa,49,uam_st_49_fa,24040.70988480408,1200.0
9,uam_st_9_fa,51,uam_st_51_fa,28258.012726426205,1200.0
9,uam_st_9_fa,55,uam_st_55_fa,38543.50920317129,1200.0
9,uam_st_9_fa,72,uam_st_72_fa,19776.28567693265,1200.0
9,uam_st_9_fa,59,uam_st_59_fa,44450.892482921074,1200.0
9,uam_st_9_fa,24,uam_st_24_fa,43730.99324908367,1200.0
9,uam_st_9_fa,20,uam_st_20_fa,56946.87898656058,1200.0
9,uam_st_9_fa,41,uam_st_41_fa,42636.973655969516,1200.0
9,uam_st_9_fa,14,uam_st_14_fa,54630.87840295592,1200.0
9,uam_st_9_fa,1,uam_st_1_fa,19495.375773171847,1200.0
9,uam_st_9_fa,62,uam_st_62_fa,28784.182547278884,1200.0
9,uam_st_9_fa,18,uam_st_18_fa,66228.84992278401,1200.0
9,uam_st_9_fa,45,uam_st_45_fa,9486.148934445582,1200.0
9,uam_st_9_fa,66,uam_st_66_fa,76670.61846522232,1200.0
9,uam_st_9_fa,39,uam_st_39_fa,68480.9153138148,1200.0
9,uam_st_9_fa,10,uam_st_10_fa,19356.017829522618,1200.0
9,uam_st_9_fa,35,uam_st_35_fa,50276.66355947587,1200.0
9,uam_st_9_fa,5,uam_st_5_fa,16798.208422807587,1200.0
31,uam_st_31_fa,9,uam_st_9_fa,17798.54930116356,1200.0
31,uam_st_31_fa,25,uam_st_25_fa,41008.145125250565,1200.0
31,uam_st_31_fa,50,uam_st_50_fa,33394.69780119395,1200.0
31,uam_st_31_fa,29,uam_st_29_fa,56947.891964291135,1200.0
31,uam_st_31_fa,48,uam_st_48_fa,47057.59798613919,1200.0
