fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
31,uam_st_31_fa,37,uam_st_37_fa,42619.506098438804,1200.0
31,uam_st_31_fa,68,uam_st_68_fa,47365.4916189912,1200.0
31,uam_st_31_fa,43,uam_st_43_fa,75503.55691726867,1200.0
31,uam_st_31_fa,64,uam_st_64_fa,47704.822118177544,1200.0
31,uam_st_31_fa,71,uam_st_71_fa,49850.31237245073,1200.0
31,uam_st_31_fa,3,uam_st_3_fa,29267.75584171276,1200.0
31,uam_st_31_fa,12,uam_st_12_fa,34856.47155563872,1200.0
31,uam_st_31_fa,33,uam_st_33_fa,39361.128655080174,1200.0
31,uam_st_31_fa,27,uam_st_27_fa,31514.480280154836,1200.0
31,uam_st_31_fa,52,uam_st_52_fa,39378.20246903139,1200.0
31,uam_st_31_fa,7,uam_st_7_fa,33355.58156273465,1200.0
31,uam_st_31_fa,56,uam_st_56_fa,60830.51900204216,1200.0
31,uam_st_31_fa,23,uam_st_23_fa,26706.26602938477,1200.0
31,uam_st_31_fa,65,uam_st_65_fa,46401.24640649446,1200.0
31,uam_st_31_fa,17,uam_st_17_fa,21376.71343543193,1200.0
31,uam_st_31_fa,42,uam_st_42_fa,69261.04403747783,1200.0
31,uam_st_31_fa,36,uam_st_36_fa,36276.47405469621,1200.0
31,uam_st_31_fa,61,uam_st_61_fa,22359.321971840644,1200.0
31,uam_st_31_fa,0,uam_st_0_fa,34544.894389888745,1200.0
31,uam_st_31_fa,46,uam_st_46_fa,46728.05305812966,1200.0
31,uam_st_31_fa,4,uam_st_4_fa,28384.454975051598,1200.0
31,uam_st_31_fa,69,uam_st_69_fa,38721.91669894155,1200.0
31,uam_st_31_fa,13,uam_st_13_fa,30098.55072574126,1200.0
31,uam_st_31_fa,28,uam_st_28_fa,29228.38667599544,1200.0
31,uam_st_31_fa,30,uam_st_30_fa,16094.775681001938,1200.0
31,uam_st_31_fa,49,uam_st_49_fa,41426.354680367855,1200.0
31,uam_st_31_fa,51,uam_st_51_fa,28150.13952773473,1200.0
31,uam_st_31_fa,55,uam_st_55_fa,63040.371478493726,1200.0
31,uam_st_31_fa,72,uam_st_72_fa,64570.28132738789,1200.0
31,uam_st_31_fa,59,uam_st_59_fa,75794.80730142709,1200.0
31,uam_st_31_fa,24,uam_st_24_fa,27919.399860672453,1200.0
31,uam_st_31_fa,20,uam_st_20_fa,32243.601973087632,1200.0
31,uam_st_31_fa,41,uam_st_41_fa,58420.46486061943,1200.0
31,uam_st_31_fa,14,uam_st_14_fa,28851.58972269916,1200.0
31,uam_st_31_fa,1,uam_st_1_fa,29559.829596306325,1200.0
31,uam_st_31_fa,62,uam_st_62_fa,50422.300875334295,1200.0
31,uam_st_31_fa,18,uam_st_18_fa,24259.851981899417,1200.0
31,uam_st_31_fa,45,uam_st_45_fa,6052.644566867447,1200.0
31,uam_st_31_fa,66,uam_st_66_fa,44950.662115567364,1200.0
31,uam_st_31_fa,39,uam_st_39_fa,56964.80290784358,1200.0
31,uam_st_31_fa,10,uam_st_10_fa,28559.901346774273,1200.0
31,uam_st_31_fa,35,uam_st_35_fa,20407.98066185015,1200.0
31,uam_st_31_fa,5,uam_st_5_fa,37638.094379704096,1200.0
25,uam_st_25_fa,9,uam_st_9_fa,4354.186214908927,1200.0
25,uam_st_25_fa,31,uam_st_31_fa,31500.914461553544,1200.0
25,uam_st_25_fa,50,uam_st_50_fa,24347.85393861631,1200.0
25,uam_st_25_fa,29,uam_st_29_fa,6851.557239287473,1200.0
25,uam_st_25_fa,48,uam_st_48_fa,27170.95459494108,1200.0
25,uam_st_25_fa,54,uam_st_54_fa,18655.582974583922,1200.0
25,uam_st_25_fa,73,uam_st_73_fa,2745.8292045214916,1200.0
25,uam_st_25_fa,58,uam_st_58_fa,63245.57466566465,1200.0
25,uam_st_25_fa,60,uam_st_60_fa,72883.11446350002,1200.0
25,uam_st_25_fa,21,uam_st_21_fa,8016.244362512716,1200.0
25,uam_st_25_fa,15,uam_st_15_fa,7846.3775486780405,1200.0
25,uam_st_25_fa,40,uam_st_40_fa,11719.09349030458,1200.0
25,uam_st_25_fa,19,uam_st_19_fa,9160.062890221398,1200.0
25,uam_st_25_fa,44,uam_st_44_fa,59500.09987121725,1200.0
25,uam_st_25_fa,67,uam_st_67_fa,69377.9020789751,1200.0
25,uam_st_25_fa,2,uam_st_2_fa,7535.573762049841,1200.0
25,uam_st_25_fa,70,uam_st_70_fa,100074.10950892407,1200.0
25,uam_st_25_fa,38,uam_st_38_fa,16047.091059484084,1200.0
25,uam_st_25_fa,63,uam_st_63_fa,73276.45952758663,1200.0
25,uam_st_25_fa,11,uam_st_11_fa,10133.034441630696,1200.0
25,uam_st_25_fa,34,uam_st_34_fa,35328.83875672452,1200.0
25,uam_st_25_fa,6,uam_st_6_fa,10647.340364710097,1200.0
25,uam_st_25_fa,53,uam_st_53_fa,61105.134583744424,1200.0
25,uam_st_25_fa,8,uam_st_8_fa,3880.3715226559902,1200.0
25,uam_st_25_fa,32,uam_st_32_fa,26160.442345666765,1200.0
25,uam_st_25_fa,26,uam_st_26_fa,14475.216921181098,1200.0
25,uam_st_25_fa,57,uam_st_57_fa,27824.688460386726,1200.0
25,uam_st_25_fa,47,uam_st_47_fa,49358.54928734897,1200.0
25,uam_st_25_fa,22,uam_st_22_fa,3169.9945807199374,1200.0
25,uam_st_25_fa,16,uam_st_16_fa,13068.211708384659,1200.0
25,uam_st_25_fa,37,uam_st_37_fa,11321.03630951856,1200.0
25,uam_st_25_fa,68,uam_st_68_fa,73470.59050921602,1200.0
25,uam_st_25_fa,43,uam_st_43_fa,55284.917599823086,1200.0
